sex,age,SES,PIF
male,77,4,0.010067192
male,78,4,0.010067192
male,79,4,0.010067192
male,80,4,0.005099831
male,81,4,0.005099831
male,82,4,0.005099831
male,83,4,0.005099831
male,84,4,0.005099831
male,85,4,0.005107255
male,86,4,0.005107255
male,87,4,0.005107255
male,88,4,0.005107255
male,89,4,0.005107255
male,90,4,0.005115915
male,91,4,0.005115915
male,92,4,0.005115915
male,93,4,0.005115915
male,94,4,0.005115915
male,95,4,0.005115915
male,96,4,0.005115915
male,97,4,0.005115915
male,98,4,0.005115915
male,99,4,0.005115915
male,100,4,0.005115915
male,101,4,0.005115915
male,102,4,0.005115915
male,103,4,0.005115915
male,104,4,0.005115915
male,105,4,0.005115915
male,106,4,0.005115915
male,107,4,0.005115915
male,108,4,0.005115915
male,109,4,0.005115915
male,110,4,0.005115915
female,0,4,0
female,1,4,0
female,2,4,0
female,3,4,0
female,4,4,0
female,5,4,0
female,6,4,0
female,7,4,0
female,8,4,0
female,9,4,0
female,10,4,0
female,11,4,0
female,12,4,0
female,13,4,0
female,14,4,0
female,15,4,0
female,16,4,0
female,17,4,0
female,18,4,0
female,19,4,0
female,20,4,0
female,21,4,0
female,22,4,0
female,23,4,0
female,24,4,0
female,25,4,0.047139231
female,26,4,0.047139231
female,27,4,0.047139231
female,28,4,0.047139231
female,29,4,0.047139231
female,30,4,0.063502872
female,31,4,0.063502872
female,32,4,0.063502872
female,33,4,0.063502872
female,34,4,0.063502872
female,35,4,0.072182492
female,36,4,0.072182492
female,37,4,0.072182492
female,38,4,0.072182492
female,39,4,0.072182492
female,40,4,0.08354403
female,41,4,0.08354403
female,42,4,0.08354403
female,43,4,0.08354403
female,44,4,0.08354403
female,45,4,0.074239863
female,46,4,0.074239863
female,47,4,0.074239863
female,48,4,0.074239863
female,49,4,0.074239863
female,50,4,0.079882143
female,51,4,0.079882143
female,52,4,0.079882143
female,53,4,0.079882143
female,54,4,0.079882143
female,55,4,0.074352622
female,56,4,0.074352622
female,57,4,0.074352622
female,58,4,0.074352622
female,59,4,0.074352622
female,60,4,0.074832377
female,61,4,0.074832377
female,62,4,0.074832377
female,63,4,0.074832377
female,64,4,0.074832377
female,65,4,0.040887162
female,66,4,0.040887162
female,67,4,0.040887162
