age,sex,sub_pops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
36,male,5,0.2,0.2,0.2,0.2,0.2,1.697186103,1.522889577,1.348593052,1.174296526,1,1.367834235,1.275875676,1.183917117,1.091958559,1
37,male,5,0.2,0.2,0.2,0.2,0.2,1.697186103,1.522889577,1.348593052,1.174296526,1,1.367834235,1.275875676,1.183917117,1.091958559,1
38,male,5,0.2,0.2,0.2,0.2,0.2,1.697186103,1.522889577,1.348593052,1.174296526,1,1.367834235,1.275875676,1.183917117,1.091958559,1
39,male,5,0.2,0.2,0.2,0.2,0.2,1.697186103,1.522889577,1.348593052,1.174296526,1,1.367834235,1.275875676,1.183917117,1.091958559,1
40,male,5,0.2,0.2,0.2,0.2,0.2,1.721064452,1.540798339,1.360532226,1.180266113,1,1.288605858,1.216454393,1.144302929,1.072151464,1
41,male,5,0.2,0.2,0.2,0.2,0.2,1.721064452,1.540798339,1.360532226,1.180266113,1,1.288605858,1.216454393,1.144302929,1.072151464,1
42,male,5,0.2,0.2,0.2,0.2,0.2,1.721064452,1.540798339,1.360532226,1.180266113,1,1.288605858,1.216454393,1.144302929,1.072151464,1
43,male,5,0.2,0.2,0.2,0.2,0.2,1.721064452,1.540798339,1.360532226,1.180266113,1,1.288605858,1.216454393,1.144302929,1.072151464,1
44,male,5,0.2,0.2,0.2,0.2,0.2,1.721064452,1.540798339,1.360532226,1.180266113,1,1.288605858,1.216454393,1.144302929,1.072151464,1
45,male,5,0.2,0.2,0.2,0.2,0.2,1.751386318,1.563539738,1.375693159,1.187846579,1,1.223248575,1.167436431,1.111624287,1.055812144,1
46,male,5,0.2,0.2,0.2,0.2,0.2,1.751386318,1.563539738,1.375693159,1.187846579,1,1.223248575,1.167436431,1.111624287,1.055812144,1
47,male,5,0.2,0.2,0.2,0.2,0.2,1.751386318,1.563539738,1.375693159,1.187846579,1,1.223248575,1.167436431,1.111624287,1.055812144,1
